level of chapter,level,normal words,bonus words,5 coins word,25 coins word
8,72,ate - axe - eat - lax - let - tax - tea - axle - late - tale - exalt - latex,,,
9,73,chi - hip - hit - phi - pic - pit - tip - chip - itch - pitch,,,
10,74,fed - fee - red - deer - feed - free - reed - reef - defer - freed,,,
11,75,one - son - cons - nose - once - cones,,,
12,76,her - the - here - thee - tree - there - three,,,
13,77,ewe - eye - pew - wee - yep - yew - weep - weepy,,,
14,78,dam - elm - lad - mad - dame - deal - lame - lead - made - male - mead - meal - meld - medal,,,
15,79,ago - gal - lag - nag - goal - loan - long - along - anglo,,,
16,80,ear - era - ray - rye - earl - real - rely - year - early - layer - relay,,,
1,81,dye - pet - put - yep - yet - yup - dupe - duty - typed - deputy,,,
2,82,fir - fit - tie - rift - rite - tire - trite - fitter,,,
3,83,dud - due - jug - dude - judge - judged,,,
4,84,got - hog - hot - rot - row - tow - two - who - grow - throw - worth - growth,,,
5,85,via - alas - lava - vial - visa - vials - saliva,,,
6,86,cut - out - sum - cost - cots - most - must - scout - custom,,,
7,87,ace - age - ale - aye - gal - gel - lay - leg - cage - clay - lace - cagey - legacy,,,
8,88,elm - men - lone - mole - only - lemon - melon - money - lemony,,,
9,89,hem - let - met - tee - heel - helm - meet - melt - them - theme - helmet,,,
10,90,icy - ski - sky - sly - lick - sick - silk - silky - slick - sickly,,,
11,91,ape - pal - pea - leap - pale - plea - equal - plaque,,,
12,92,den - did - end - hen - hid - died - dine - hide - hind - dined - hidden,,,
13,93,sea - aces - case - seas - cases - access,,,
14,94,lad - led - deal - dual - duel - lead - vale - veal - value - valued,,,
15,95,red - dire - dive - ride - drier - drive - rider - river - driver,,,
16,96,sop - soy - spy - oops - pony - soon - spoon - snoopy,,,
1,97,bed - bid - rib - rid - bird - bred - dire - ride - bride - birdie,,,
2,98,pic - pry - rip - sip - sir - spy - spry - crisp - spicy - crispy,,,
3,99,cot - ice - cite - exit - toxic - exotic,,,
4,100,fin - fir - for - ion - nor - rim - firm - form - from - info - iron - minor - inform,,,
5,101,ivy - rye - fire - five - rife - very - fiery - verify,,,
6,102,emu - ham - hue - hum - man - amen - mane - mean - menu - name - human - humane,,,
7,103,led - old - demo - dome - lode - meld - mode - model - moldy - melody,,,
8,104,ads - cue - sad - sea - sue - use - aces - case - cues - dues - used - cause - sauce - caused,,,
9,105,net - nut - rue - run - rut - ten - rent - runt - true - tune - turn - tuner - untrue,,,
10,106,den - did - end - deed - died - need - dined - ended - denied - indeed,,,
11,107,doe - dog - ego - god - odd - red - ogre - rode - dodge - odder - dodger,,,
12,108,her - his - she - ski - hers - hire - rise - risk - sire - heirs - shire - shirk - skier - hikers,,,
13,109,bet - orb - ore - rob - toe - too - boot - bore - robe - root - tore - robot - reboot,,,
14,110,beg - bin - inn - nine - begin - being - binge - benign,,,
15,111,gut - guy - lit - lug - tug - glut - ugly - guilty,,,
16,112,lie - lip - pep - per - pie - pier - pile - pipe - prep - ripe - peril - ripple,,,
1,113,eve - van - even - have - vane - haven - heaven,,,
2,114,all - law - owl - saw - was - also - lows - owls - slow - wall - allow - allows,,,
3,115,ace - ale - arc - car - ear - era - call - care - cell - earl - race - real - clear - caller - cellar - recall,,,
4,116,emu - sea - sum - mass - mess - muse - same - sues - sums - uses - amuse - seams - assume,,,
5,117,vie - dive - dove - void - diode - video - devoid - voided,,,
6,118,bad - ban - bud - bun - dub - nab - nod - nub - band - bond - undo - bound - abound,,,
7,119,cut - out - cost - cots - cuts - outs - scout - stucco,,,
8,120,cab - lab - able - blah - each - lace - beach - cable - bleach,,,
9,121,our - hour - ouch - ours - rush - sour - such - crush - chorus,,,
10,122,eve - else - less - sees - elves - selves - vessel,,,
11,123,big - bit - hit - rig - brig - grit - birth - right - bright,,,
12,124,ego - emu - gem - gum - mug - ore - rug - rum - euro - germ - more - ogre - urge - rogue - rouge - morgue,,,
13,125,are - bar - bee - bra - bare - bear - beer - ever - verb - brave - beaver,,,
14,126,chi - hen - her - chin - heir - inch - nice - rice - rich - nicer - niche - enrich,,,
15,127,ant - man - mat - nut - tan - aunt - tuna - taunt - mutant,,,
16,128,inn - new - win - nine - wine - wire - inner - winner,,,
1,129,red - deer - edge - reed - greed - degree,,,
2,130,let - see - set - else - lest - seed - sled - tees - steel - eldest,,,
3,131,hip - hit - lip - lit - phi - pig - pit - tip - hilt - light - plight,,,
4,132,con - hen - one - she - son - cons - echo - hens - hose - nose - once - ones - shoe - chose - cones - shone - chosen,,,
5,133,got - hog - hot - not - rot - ton - horn - torn - north - thorn - throng,,,
6,134,doe - due - duo - elm - led - mud - old - demo - dome - duel - lode - loud - meld - mode - mold - mole - model - module,,,
7,135,arc - oar - arcs - cars - oars - scar - soar - cross - across,,,
8,136,her - his - lie - sir - heir - hers - hire - isle - lies - rile - rise - heirs - riles - shire - relish,,,
9,137,gel - leg - peg - deep - glee - peel - pled - ledge - pledge,,,
10,138,ego - gin - ion - nor - ore - gone - grin - iron - ogre - rein - ring - goner - reign - ignore - region,,,
11,139,gee - gem - germ - mere - merge - merger,,,
12,140,arch - coal - cola - halo - oral - coral - roach - choral,,,
13,141,net - tee - ten - rent - teen - tree - enter - entree,,,
14,142,ate - eat - fad - fat - fed - fee - tad - date - deaf - fade - fate - feed - feet - fated - defeat,,,
15,143,ice - sin - ices - nice - since - scenic,,,
16,144,air - lag - rag - rig - girl - liar - rail - cigar - grail - garlic,,,
1,145,cot - cry - out - toy - try - you - curt - tour - your - court - outcry,,,
2,146,sly - yes - lose - sell - sole - yell - yells - solely,,,
3,147,ant - ink - kin - tan - tea - ten - tie - tin - kite - neat - take - tank - taken - intake,,,
4,148,cut - rut - cuts - rust - ruts - suck - tuck - tusk - crust - stuck - truck - tucks - turks - struck,,,
5,149,act - arc - art - car - cat - rat - tar - cart - circa - arctic,,,
6,150,air - any - ban - bay - bra - nab - ran - rib - airy - barn - bran - rain - yarn - brain - rainy - binary,,,
7,151,con - ice - ion - men - one - coin - come - icon - mine - nice - once - mince - income,,,
8,152,red - rid - see - deer - dire - reds - reed - ride - rids - seed - seer - side - dries - reeds - rides - desire - reside,,,
9,153,doe - dot - eve - tee - toe - dove - veto - vote - voted - devote - vetoed,,,
10,154,ale - elm - era - mar - ram - earl - lame - male - mare - meal - real - realm - marvel,,,
11,155,nor - son - more - norm - nose - ores - rose - some - sore - norms - omens - snore - sermon,,,
12,156,her - hit - the - heir - here - hire - rite - tier - tire - tree - their - there - three - either,,,
13,157,dog - dug - gun - nod - our - rod - rug - run - urn - drug - dung - rung - round - ground,,,
14,158,ease - mass - mess - same - seas - sees - eases - seams - seems - sesame,,,
15,159,sun - hunk - husk - runs - sunk - urns - hunks - shrunk,,,
16,160,ore - rot - vet - core - cove - over - rove - tore - cover - covet - voter - covert - vector,,,
1,161,ilk - kid - nil - idly - kind - link - dinky - kindly,,,
2,162,her - ire - the - vie - heir - hire - hive - rite - tier - tire - their - thrive,,,
3,163,imp - per - pie - rem - rep - rip - peer - pier - prim - ripe - prime - empire,,,
4,164,cut - its - rut - sir - sit - curt - rust - ruts - stir - suit - crust - citrus - rustic,,,
5,165,gala - goal - loan - long - along - anglo - analog,,,
6,166,cop - cue - cup - clue - cope - pole - coupe - couple,,,
7,167,let - lot - ore - rot - vet - love - over - role - rove - tore - lover - overt - voter - revolt,,,
8,168,den - end - sun - use - dens - dues - send - sued - used - dunes - undue - unused,,,
9,169,ace - ape - cap - pea - cape - epic - pace - peace - piece - apiece,,,
10,170,did - elf - fed - led - lid - lie - deli - died - fled - idle - life - field - filed - fiddle,,,
11,171,oil - foil - loss - oils - silo - soil - floss - soils - fossil,,,
12,172,inn - nan - sea - nine - sane - nines - insane - sienna,,,
13,173,had - have - head - heed - evade - heaved,,,
14,174,oar - ray - say - soy - oars - rays - roar - rosy - soar - roars - sorry - rosary,,,
15,175,foe - for - odd - ode - red - rod - fore - redo - rode - odder - fodder - forded,,,
16,176,file - fill - fire - life - rife - rile - flier - rifle - filler,,,
1,177,elf - flu - fuel - fuse - self - fuels - useful,,,
2,178,can - hen - ache - acne - cane - each - cache - chance,,,
3,179,gin - git - net - nit - ten - tin - gent - tinge - ignite,,,
4,180,duh - duo - our - rod - sod - dour - ours - rods - rush - sour - hours - shroud,,,
5,181,not - pot - pro - too - top - onto - poor - port - root - torn - troop - proton,,,
6,182,let - lie - lit - til - lite - rile - tile - tilt - liter - title - trite - litter,,,
7,183,blob - blog - glob - lobe - globe - gobble,,,
8,184,bus - hub - rib - rub - sub - bush - hubs - ribs - rubs - rush - brush - shrub - hubris,,,
9,185,den - din - sin - dens - ends - send - side - dines - inside,,,
10,186,aid - aim - and - dam - dim - ion - mad - man - mid - nod - amid - maid - main - mind - amino - domain,,,
11,187,via - ails - sail - visa - vials - visual,,,
12,188,ale - app - lap - pal - pep - leap - pale - papa - plea - apple - appeal,,,
13,189,set - toe - coke - cots - sect - sock - stock - socket,,,
14,190,lay - oar - ray - ally - oral - roll - alloy - loyal - rally - royal - orally,,,
15,191,goo - gym - log - moo - logo - loom - gloom - gloomy,,,
16,192,cot - sim - cost - mist - most - omit - tics - moist - omits - stoic - sitcom,,,
1,193,ops - pie - sim - sip - sop - imps - mops - pies - pose - some - poems - poise - impose,,,
2,194,ace - all - call - cell - coal - cola - lace - cello - local - locale,,,
3,195,err - fee - ref - free - peer - reef - freer - refer - prefer,,,
4,196,dire - nerd - rein - ride - rind - dined - diner - dried - ridden,,,
5,197,git - hey - hit - the - thy - tie - they - eight - eighty,,,
6,198,out - sum - tot - most - must - mutt - oust - stout - touts - utmost,,,
7,199,sea - son - eons - ones - sane - noses - season,,,
8,200,act - cat - tic - tact - attic - cacti - tacit - tactic,,,
9,201,did - ice - cede - deed - dice - died - iced - diced - decide,,,
10,202,age - ago - ego - gem - hag - hem - hoe - hog - mag - game - home - mage - mega - omega - homage,,,
11,203,coo - cot - hot - ooh - rot - hoot - root - torch - cohort,,,
12,204,ices - isle - lice - lies - rice - rile - rise - sire - cries - relic - slice - relics - slicer,,,
13,205,abs - sap - say - spa - spy - bass - bays - pass - pays - abyss - bypass,,,
14,206,gel - gun - leg - lug - peg - pug - pun - glen - glue - gulp - lung - plug - lunge - plunge,,,
15,207,nor - one - ore - pen - per - rep - nope - open - oven - over - peon - pore - rope - prone - prove - proven,,,
16,208,eels - else - elves - levee - levees - sleeve,,,
1,209,ire - its - set - sir - sit - rest - rise - rite - sire - site - stir - test - tier - ties - tire - tries - trite - sitter,,,
2,210,chic - cite - etch - itch - tech - ethic - hectic,,,
3,211,able - base - labs - sale - seal - slab - bales - blues - usable,,,
4,212,cue - rue - see - use - cure - seer - sure - user - curse - reuse - rescue - secure,,,
5,213,age - ale - gal - gee - gel - lag - lug - gale - glee - glue - eagle - league,,,
6,214,ads - aid - sad - sea - via - vie - aide - avid - dive - idea - said - save - side - vase - visa - aside - saved - advise,,,
7,215,hem - her - hoe - ore - come - core - echo - hero - home - more - chore - homer - chrome,,,
8,216,hail - heal - lain - lane - lean - line - nail - alien - inhale,,,
9,217,our - sly - soy - you - ours - rosy - slur - sour - your - lousy - surly - sourly,,,
10,218,ski - sky - spy - imps - skim - skip - skimp - spiky - skimpy,,,
11,219,con - son - sun - cons - soul - locus - consul,,,
12,220,cod - doc - doe - ode - red - rod - code - coed - cord - redo - rode - coder - cored - credo - decor - order - record,,,
13,221,not - ton - toy - try - yon - horn - torn - north - thorn - thorny,,,
14,222,act - cat - eat - toe - vet - cave - coat - cove - taco - veto - vote - covet - octave,,,
15,223,eel - let - see - set - else - lest - lets - tees - sleet - steel - settle,,,
16,224,arch - barn - bran - carb - crab - ranch - branch,,,
1,225,hop - ooh - opt - pot - top - hoop - hoot - onto - photo - photon,,,
2,226,dual - land - load - loan - loud - undo - aloud - unload,,,
3,227,cod - doc - doe - odd - ode - cede - code - coed - deed - coded - decode,,,
4,228,dawn - down - draw - road - wand - ward - warn - word - worn - adorn - drawn - drown - radon - onward,,,
5,229,ace - elf - ice - lie - cafe - calf - face - fail - file - flea - lace - leaf - life - facile,,,
6,230,net - tee - ten - gene - gent - rent - teen - tree - enter - genre - green - greet - regent,,,
7,231,aye - day - dye - had - hay - hey - yea - head - yeah - heady - heyday,,,
8,232,are - art - ear - era - let - rat - tar - earl - late - rate - real - tale - tart - tear - alert - alter - later - treat - latter - rattle,,,
9,233,ores - rose - sore - cores - score - soccer,,,
10,234,ate - eat - egg - gag - get - tad - tag - tea - aged - date - gate - gated - gadget - tagged,,,
11,235,iris - pits - rips - spit - tips - trip - strip - trips - spirit,,,
12,236,arc - arm - car - mar - oar - ram - calm - camo - clam - cola - cram - oral - roam - carol - coral - macro - molar - moral - clamor,,,
13,237,him - his - sim - why - swim - wish - whims - whimsy,,,
14,238,git - hit - ink - kin - tin - hint - king - knit - thin - night - thing - think - knight,,,
15,239,boom - boot - moot - tomb - motto - bottom,,,
16,240,eel - eve - evil - leer - live - reel - rile - veer - veil - vile - lever - liver - revel - relive,,,
1,241,jet - tee - jeer - tree - eject - erect - reject,,,
2,242,rut - set - sue - use - rest - ruse - rust - sure - test - true - user - strut - trust - truest,,,
3,243,nit - tie - tin - yen - yet - nine - tiny - tinny - ninety,,,
4,244,gels - glen - isle - legs - lens - lies - line - sign - sine - sing - liens - lines - singe - sling - single,,,
5,245,ire - leg - rig - gill - girl - rile - grill - grille,,,
6,246,bio - elm - lob - mil - mob - oil - bile - limb - lime - limo - lobe - mile - limbo - mobile,,,
7,247,did - see - died - seed - side - deeds - sided - eddies,,,
8,248,fall - flaw - flow - fowl - loaf - wolf - allow - fallow,,,
9,249,eve - van - even - nave - vane - venue - avenue,,,
10,250,bend - bled - blue - duel - dune - lend - lube - nude - blend - bundle,,,
11,251,atom - mart - moan - moat - norm - rant - roam - roan - torn - tram - manor - roman - matron,,,
12,252,act - cat - hah - hat - chat - tact - that - hatch - thatch,,,
13,253,lam - lay - may - say - sly - sum - yam - alms - alum - slam - slay - slum - mauls - asylum,,,
14,254,ache - cape - chap - each - heap - hype - cheap - peach - peachy,,,
15,255,net - ten - cent - rent - teen - tern - enter - erect - recent,,,
16,256,aunt - nuns - nuts - stun - tans - tuna - aunts - suntan,,,
1,257,bus - but - buy - sly - sub - tub - bust - busy - lust - stub - lusty - subtly,,,
2,258,dice - disc - iced - idle - lice - lids - lied - lies - side - sled - slid - delis - slice - slide - sliced,,,
3,259,dud - eel - led - deed - dude - elude - dueled - eluded,,,
4,260,elms - isle - lips - pies - pile - slim - slip - limes - limps - miles - piles - slime - smile - simple,,,
5,261,gee - gel - red - deer - edge - glee - leer - reed - elder - greed - ledge - ledger,,,
6,262,core - cove - lore - love - over - role - rove - clove - cover - lover - clover,,,
7,263,met - yes - mess - sets - stem - messy - stems - system,,,
8,264,deem - demo - dome - meet - mode - tome - emote - demote,,,
9,265,cans - coin - cons - icon - ions - scan - scion - sonic - casino,,,
10,266,rate - rote - tart - tear - tore - tort - tote - trot - otter - tarot - treat - rotate,,,
11,267,hop - nor - oar - pan - par - ran - rap - harp - horn - apron - orphan,,,
12,268,nosy - onto - snot - soon - soot - tons - toon - sooty - stony - snooty,,,
13,269,lie - sew - vie - evil - live - slew - view - vile - vise - wise - evils - lives - veils - views - wives - swivel,,,
14,270,gain - grin - nary - rain - rang - angry - grain - rainy - rangy - grainy,,,
15,271,new - sew - sin - sun - win - news - sewn - sine - wine - wins - wise - swine - wines - unwise,,,
16,272,dens - digs - dine - ding - ends - send - dines - dings - snide - design - signed - singed,,,
1,273,net - per - tee - ten - peer - rent - teen - tree - enter - preen - repent,,,
2,274,awed - dame - made - mead - meow - owed - wade - mowed - meadow,,,
3,275,moss - muse - some - sues - sums - uses - mouse - muses - mousse,,,
4,276,fees - free - furs - fuse - reef - refs - ruse - seer - sure - surf - user - reefs - reuse - refuse,,,
5,277,ash - asp - has - lap - pal - sap - spa - lash - lass - pals - pass - sash - slap - spas - slash - splash,,,
6,278,den - din - end - hen - hid - his - she - dish - hide - hind - shed - shin - shied - shine - shined,,,
7,279,its - pit - rip - sip - sir - sit - pics - spit - stir - tics - tips - crisp - strip - trips - script,,,
8,280,firs - fish - fist - fits - hits - rift - sift - stir - this - first - shift - shirt - shrift,,,
9,281,arc - can - car - con - coo - corn - orca - acorn - corona - racoon,,,
10,282,gore - hero - hope - ogre - pore - repo - rope - grope - gopher,,,
11,283,opt - pet - pot - tie - tip - top - tot - poet - tote - tiptoe,,,
12,284,edge - eels - else - gels - legs - seed - sled - ledge - sledge,,,
13,285,alt - lat - lay - sat - say - vat - last - salt - slat - slay - stay - vast - salty - vastly,,,
14,286,beer - beet - belt - leer - reel - beret - rebel - treble,,,
15,287,air - ran - sir - airs - iris - rain - rains - raisin,,,
16,288,hoes - hole - hose - lose - shoe - sole - vole - holes - hovel - loves - shove - solve - shovel,,,
1,289,egg - ego - gel - leg - log - gore - lore - ogre - role - gorge - logger,,,
2,290,blew - blob - blow - bowl - lobe - below - elbow - wobble,,,
3,291,ant - any - jay - jut - nay - nut - tan - tau - aunt - tuna - jaunt - jaunty,,,
4,292,dole - dope - loop - pled - pole - polo - pool - loped - looped - poodle - pooled,,,
5,293,ever - over - reek - rove - veer - evoke - revoke,,,
6,294,eel - led - lid - lie - see - deli - else - idle - isle - seed - side - sled - slid - slide - diesel,,,
7,295,act - art - cat - cot - oat - rat - rot - tar - cart - coat - roar - taco - actor - carrot,,,
8,296,fell - felt - file - fill - left - life - lift - lilt - lite - tile - till - filet - fillet,,,
9,297,ago - arc - car - cog - oar - our - rag - rug - orca - cargo - cougar,,,
10,298,ale - bar - bra - ear - era - lab - able - bear - earl - raze - zeal - blaze - zebra - blazer,,,
11,299,any - cay - cry - nan - ran - ray - nary - racy - yarn - canny - cranny,,,
12,300,gals - lags - lays - sags - says - slay - gassy - glass - glassy,,,
13,301,him - hit - icy - thy - city - itch - myth - itchy - mythic,,,
14,302,rest - rose - rote - rots - sore - sort - tore - trek - stoke - store - stroke,,,
15,303,ice - ire - tic - tie - cite - rice - rite - tier - tire - erect - recite,,,
16,304,dare - dear - deer - hard - hare - hear - heed - herd - here - read - reed - heard - adhere - header,,,
1,305,ages - awes - ease - ewes - gees - sage - swag - wage - wags - wages - sewage,,,
2,306,punk - puns - puny - spun - sunk - punks - spunk - spunky,,,
3,307,let - set - sue - use - less - lest - lute - sues - lusts - tussle,,,
4,308,not - now - nut - opt - out - own - pot - pow - pun - put - ton - top - tow - two - won - punt - town - unto - upon - uptown,,,
5,309,ice - its - sit - tic - tie - sect - site - cites - cities,,,
6,310,atop - auto - iota - pita - pout - patio - utopia,,,
7,311,arm - for - fro - lam - mar - oar - ram - afro - farm - foam - form - from - loaf - loam - oral - roam - molar - moral - formal,,,
8,312,runs - ruse - seen - seer - sure - urns - user - ensue - nurse - reuse - sneer - ensure,,,
9,313,dean - hand - head - heal - held - land - lane - lean - lend - laden - handle,,,
10,314,dale - deal - dell - dual - duel - dull - lead - ladle - allude,,,
11,315,con - coy - yen - yon - cone - cove - envy - once - oven - covey - envoy - convey,,,
12,316,nest - news - sent - sewn - stew - teen - tees - tens - went - west - wets - sweet - tense - tween - newest,,,
13,317,aft - alt - fat - fly - lat - lay - fall - flat - flay - tall - tally - flatly,,,
14,318,most - rosy - rots - sort - toys - storm - story - stormy,,,
15,319,hall - halt - hate - heat - hell - late - tale - teal - tell - lathe - lethal,,,
16,320,arty - earl - rate - real - rely - tear - tray - year - alert - alter - early - later - layer - relay - teary - realty,,,
1,321,doe - ode - sod - toe - desk - does - dose - dote - toes - stoke - stoked,,,
2,322,ore - rot - vet - over - rote - rove - tore - veto - overt - trove - voter - vortex,,,
3,323,rem - more - ores - rose - some - sore - smoke - smoker,,,
4,324,dare - dear - pear - prep - read - reap - drape - paper - pared - dapper - rapped,,,
5,325,big - gel - lie - rib - bile - brie - brig - girl - glib - rile - bilge - gerbil,,,
6,326,deli - diet - duel - duet - edit - idle - lied - lute - tide - tied - tiled - dilute,,,
7,327,icy - kit - ski - sky - city - cyst - icky - sick - skit - tick - sticky,,,
8,328,flit - lift - lint - tiny - flint - nifty - flinty,,,
9,329,met - toe - vie - emit - item - mite - mote - move - omit - tome - veto - vote - movie - motive,,,
10,330,neon - none - wore - worn - wren - owner - renown,,,
11,331,clue - lice - lien - line - nice - uncle - nuclei,,,
12,332,duel - held - herd - hurl - lure - rude - rule - lured - ruled - hurdle - hurled,,,
13,333,boy - mob - moo - too - toy - boom - boot - moot - tomb - booty - tomboy,,,
14,334,anti - aunt - neat - tine - tuna - tune - unit - unite - untie - auntie,,,
15,335,fir - fur - ire - rig - rue - rug - fire - rife - urge - grief - figure,,,
16,336,ires - rest - rise - rite - sire - site - stir - tier - tire - vest - vets - rivet - tries - strive,,,
1,337,bed - bid - bio - bod - ode - bide - bios - does - dose - side - bodes - bodies,,,
2,338,dour - runt - torn - tour - trod - turn - undo - unto - donut - round - rotund,,,
3,339,gnu - gun - guy - lug - sun - slug - snug - sung - ugly - lungs - slung - snugly,,,
4,340,afro - dare - deaf - doer - fade - fare - fear - ford - fore - read - redo - rode - adore - fared - fedora,,,
5,341,blot - boat - bola - boll - bolt - tall - toll - atoll - bloat - ballot,,,
6,342,nits - nuts - stun - suit - tins - quits - units - squint,,,
7,343,shy - sly - hull - lush - hulls - sully - lushly,,,
8,344,bard - boar - drab - road - board - broad - aboard - abroad,,,
9,345,son - also - loan - loon - solo - soon - salon - saloon,,,
10,346,huts - push - puts - shut - thus - tush - pushy - typhus,,,
11,347,ace - ale - can - acne - cane - clan - lace - lean - clean - lance - cancel,,,
12,348,here - hers - peer - reps - seep - seer - peers - sheep - sheer - spree - sphere,,,
13,349,due - fed - fee - see - sue - use - feed - feud - fuse - seed - sued - used - fused - suede - defuse,,,
14,350,able - bale - bare - bear - blah - earl - hare - heal - hear - herb - blare - rehab - herbal,,,
15,351,atom - mart - moat - roam - roar - tram - armor - mortar,,,
16,352,clot - colt - cost - cult - lost - lots - lout - lust - oust - slot - soul - clots - clout - colts - locus - lotus - scout - locust,,,
1,353,aid - ail - air - lad - lid - rad - arid - dial - laid - lair - lard - liar - raid - rail - lizard,,,
2,354,mere - muse - ruse - seem - seer - sure - user - reuse - serum - resume,,,
3,355,art - rat - sat - star - stat - tart - start - strata,,,
4,356,acre - cake - care - race - rack - rake - tack - trek - cater - crate - creak - react - taker - trace - track - racket,,,
5,357,cry - pry - rep - rye - yep - peer - prey - pyre - creep - crepe - creepy,,,
6,358,ails - cola - oils - sail - silo - soil - coals - coils - social,,,
7,359,any - gal - lag - lay - nag - rag - ran - gray - nary - rang - yarn - angry - gnarl - gnarly,,,
8,360,feel - file - fine - flee - lien - life - line - elfin - feline,,,
9,361,door - dove - odor - over - rove - drove - rodeo - roved - overdo,,,
10,362,ice - ire - rib - beck - bike - brie - crib - biker - brick - bicker,,,
11,363,hot - how - now - own - rot - tow - who - won - horn - torn - town - worn - north - thorn - throw - worth - thrown,,,
12,364,bras - pars - pubs - raps - rasp - rubs - spar - spur - burps - subpar,,,
13,365,not - nut - out - ton - tot - mutt - tout - mount - mutton,,,
14,366,rue - rut - set - sue - use - rest - ruse - rust - ruts - sure - true - truss - users - russet - surest,,,
15,367,due - eel - led - duel - elude - exude - deluxe,,,
16,368,heir - hire - pier - pipe - prep - ripe - piper - hipper,,,
1,369,far - fir - sir - afar - airs - fair - firs - fairs - safari,,,
2,370,dale - deal - late - lead - tale - teal - dealt - delta - elated,,,
3,371,ill - imp - lip - ply - lily - limp - mill - pill - imply - limply,,,
4,372,deer - doer - need - nerd - redo - reed - rend - rode - drone - erode - redone,,,
5,373,tee - seer - tees - test - tree - reset - steer - terse - retest - setter - street - tester,,,
6,374,dual - laud - load - loud - opal - aloud - upload,,,
7,375,sets - sews - sits - ties - west - wets - wise - wits - sites - stews - wisest,,,
8,376,melt - mole - molt - role - rote - term - tome - tore - metro - motel - merlot,,,
9,377,ago - all - log - gall - goal - loan - long - along - anglo - gallon,,,
